feature,importance
acc_mag_kurt,0.6565414263896909
acc_z_delta,0.08760741729929744
acc_y_max,0.07888873105564911
acc_x_spectral_entropy,0.04491150701797013
acc_x_delta,0.019765833134704446
acc_y_mean,0.015652445044969106
acc_z_min,0.013605224511646646
acc_y_q75,0.00868364746685135
gyro_mag_kurt,0.007387195019495993
gyro_z_spectral_entropy,0.004315163237011389
acc_mag_iqr,0.004200422050289184
gyro_z_min,0.003876478784601251
gyro_x_mean,0.0037793166377535024
acc_y_psd_mean,0.003360653858148858
gyro_mag_skew,0.003247638111845308
gyro_x_skew,0.0030202678383777523
gyro_y_iqr,0.0028357645543786877
gyro_x_std,0.002723853663688254
acc_x_var,0.002720326933504106
acc_y_spectral_entropy,0.0025132010538479023
acc_y_delta,0.0022087972804347255
acc_y_var,0.0018996247293363892
acc_mag_psd_mean,0.0018286303029331418
gyro_y_q25,0.0018218774961921837
acc_x_iqr,0.0015770217989452405
gyro_mag_delta,0.0015296060242860892
acc_mag_max,0.0013962629460132737
acc_mag_skew,0.0012941785878793192
gyro_z_skew,0.001182310801587396
gyro_z_std,0.0011308582144968766
acc_z_q75,0.0011159329883154352
gyro_y_median,0.0009831772625727552
gyro_mag_median,0.0009402914903617652
gyro_mag_spectral_entropy,0.0008502882561385616
gyro_y_min,0.0007808687164468427
acc_mag_q25,0.0007019137008147097
gyro_x_q75,0.0006469979296064529
acc_z_psd_mean,0.0006263848270785309
gyro_x_median,0.0005793960877233638
gyro_z_mean,0.0005793249230072996
acc_mag_min,0.0005730893610052079
gyro_x_var,0.0005673904093954932
acc_y_min,0.0005614925492854061
acc_x_min,0.0005598697600604574
acc_y_median,0.0005595214440528155
acc_x_kurt,0.0005552848978221892
acc_x_q25,0.0005007511266899037
gyro_x_kurt,0.0004741436502559088
acc_z_median,0.00039043435822342135
acc_z_mean,0.00028966131907300817
gyro_y_kurt,0.00028221409787690095
acc_mag_delta,0.00027944669554275895
gyro_x_min,0.0002763866163443462
gyro_mag_q25,0.0002728735895796832
acc_mag_median,0.00026788823702746404
gyro_mag_std,0.0001974340352010096
acc_x_mean,6.900515556017066e-05
gyro_x_psd_mean,7.666959225138658e-06
acc_mag_mean,5.187709887090877e-06
acc_x_median,1.0411927641955245e-17
acc_z_q25,1.0290495507461326e-17
gyro_mag_max,9.838041866414402e-20
gyro_x_max,0.0
acc_z_spectral_entropy,0.0
acc_x_max,0.0
acc_x_std,0.0
acc_z_skew,0.0
acc_z_kurt,0.0
acc_z_max,0.0
acc_z_iqr,0.0
acc_z_std,0.0
acc_z_var,0.0
acc_y_skew,0.0
acc_y_kurt,0.0
acc_y_iqr,0.0
acc_y_q25,0.0
acc_x_skew,0.0
acc_x_q75,0.0
acc_x_psd_mean,0.0
acc_y_std,0.0
gyro_z_iqr,0.0
gyro_z_q75,0.0
gyro_z_q25,0.0
gyro_z_delta,0.0
gyro_z_median,0.0
gyro_z_max,0.0
gyro_z_var,0.0
gyro_y_psd_mean,0.0
gyro_y_q75,0.0
gyro_y_spectral_entropy,0.0
gyro_y_skew,0.0
gyro_y_mean,0.0
gyro_y_var,0.0
gyro_y_std,0.0
gyro_y_max,0.0
gyro_y_delta,0.0
gyro_x_iqr,0.0
gyro_x_q25,0.0
gyro_x_delta,0.0
gyro_x_spectral_entropy,0.0
gyro_z_psd_mean,0.0
gyro_z_kurt,0.0
acc_mag_std,0.0
acc_mag_var,0.0
acc_mag_q75,0.0
gyro_mag_min,0.0
acc_mag_spectral_entropy,0.0
gyro_mag_mean,0.0
gyro_mag_var,0.0
gyro_mag_q75,0.0
gyro_mag_iqr,0.0
gyro_mag_psd_mean,0.0
