feature,importance
acc_mag_kurt,0.66729460074082
acc_y_max,0.08046931723392395
acc_z_delta,0.07344679924238044
acc_x_spectral_entropy,0.04483690584577129
acc_y_mean,0.020628067282603708
acc_z_min,0.016098407898790704
acc_x_delta,0.013811198523699914
acc_y_q75,0.00937720802548432
acc_mag_max,0.009376638199459351
gyro_mag_skew,0.005674333795564272
gyro_z_spectral_entropy,0.005062494570817533
gyro_y_iqr,0.003666846337946559
gyro_y_kurt,0.0033561877824172907
acc_y_delta,0.0027895447665356975
gyro_z_skew,0.002622884674251627
gyro_mag_delta,0.0023000388022603427
gyro_mag_psd_mean,0.0022153300841825435
gyro_x_skew,0.002052824562285942
acc_mag_iqr,0.0020402163955553416
acc_y_q25,0.001997146281202571
acc_x_iqr,0.0019277574255583052
acc_z_q75,0.0017138905857849323
gyro_y_median,0.0015498124243954413
gyro_x_min,0.0014887018165706692
acc_x_kurt,0.0013712697507706857
gyro_mag_var,0.001368063490582904
gyro_x_median,0.001345661472346165
acc_y_spectral_entropy,0.0013302414515339747
gyro_z_mean,0.0011624574378685125
acc_z_mean,0.0011176440064344362
acc_x_median,0.0010490532192155564
acc_mag_delta,0.0010215133165952846
gyro_y_max,0.0010148862607879004
acc_mag_skew,0.0009879211099322422
gyro_mag_std,0.000920633315524964
gyro_y_mean,0.0009092665590462577
gyro_x_var,0.0008499463923523448
acc_z_skew,0.0007809835825749382
acc_mag_mean,0.0005612169546595775
acc_z_psd_mean,0.00052511527921364
gyro_z_median,0.0005197255329460515
gyro_z_q75,0.0005169103529759269
acc_z_std,0.0004644262447033332
gyro_x_max,0.00046181814222261575
gyro_z_std,0.0004219676350823892
gyro_x_q25,0.00041261274313117874
acc_z_median,0.00035956436022385854
acc_x_psd_mean,0.00031403144996417604
gyro_x_mean,0.0003035938053683574
gyro_x_iqr,0.0002969225034288627
acc_x_min,0.00029478187486489866
acc_x_q75,0.0002885572823984363
gyro_x_q75,0.0002835622507753655
acc_mag_min,0.00028195110162323295
gyro_mag_min,0.0002813256727125229
gyro_z_delta,0.0002789674920822463
acc_y_var,0.00027691626052281793
gyro_mag_iqr,0.00027691626052281793
acc_z_iqr,0.00027568552158716106
gyro_y_min,0.00025845517648796345
gyro_mag_kurt,0.00014768867227883624
gyro_x_psd_mean,0.00014768867227883624
acc_z_q25,0.00014768867227883624
gyro_z_max,0.00014743320469210532
gyro_z_min,0.0001472632528711236
gyro_z_kurt,0.00013816037084149178
gyro_y_delta,7.088422441361162e-05
gyro_y_q75,5.4017969829487905e-05
gyro_mag_spectral_entropy,1.7456399189418958e-05
acc_x_q25,0.0
acc_x_std,0.0
acc_z_var,0.0
acc_y_min,0.0
acc_y_iqr,0.0
acc_y_median,0.0
acc_x_var,0.0
acc_x_mean,0.0
acc_x_max,0.0
acc_x_skew,0.0
acc_y_std,0.0
acc_z_spectral_entropy,0.0
gyro_x_std,0.0
acc_z_max,0.0
acc_z_kurt,0.0
acc_y_psd_mean,0.0
acc_y_kurt,0.0
acc_y_skew,0.0
gyro_y_psd_mean,0.0
gyro_x_spectral_entropy,0.0
gyro_y_std,0.0
gyro_x_delta,0.0
gyro_x_kurt,0.0
gyro_y_spectral_entropy,0.0
gyro_y_skew,0.0
gyro_y_var,0.0
gyro_y_q25,0.0
gyro_z_iqr,0.0
gyro_z_q25,0.0
gyro_z_var,0.0
acc_mag_q25,0.0
acc_mag_std,0.0
gyro_z_psd_mean,0.0
acc_mag_median,0.0
acc_mag_var,0.0
acc_mag_q75,0.0
gyro_mag_median,0.0
acc_mag_spectral_entropy,0.0
gyro_mag_mean,0.0
acc_mag_psd_mean,0.0
gyro_mag_max,0.0
gyro_mag_q75,0.0
gyro_mag_q25,0.0
