feature,importance
acc_mag_kurt,0.5269081514720241
acc_y_mean,0.165366468937452
acc_y_max,0.06701875118084512
gyro_mag_kurt,0.053533853498720425
acc_z_delta,0.042023045322222154
acc_x_spectral_entropy,0.020126345368592383
gyro_mag_delta,0.017811064125525272
acc_x_delta,0.013824687446300268
acc_mag_max,0.012190394284394215
acc_y_median,0.00908665251294655
acc_x_kurt,0.008941965327538586
gyro_mag_mean,0.006863511532532407
acc_z_iqr,0.006697819397715035
acc_y_psd_mean,0.00493739215922735
acc_z_spectral_entropy,0.004622651860786642
acc_y_q75,0.004236236788090253
gyro_mag_iqr,0.002952131586459074
acc_y_spectral_entropy,0.0025788093658063965
gyro_z_spectral_entropy,0.0024219417092163635
gyro_x_skew,0.002204482180987703
acc_z_min,0.002090879323863386
gyro_y_iqr,0.0020447819150105485
acc_mag_skew,0.001768282202959653
gyro_x_max,0.0014136952935638162
acc_z_var,0.0013849940883198565
acc_z_max,0.0012705029706055416
acc_z_kurt,0.0011758357822752572
acc_y_min,0.0011498798873826029
gyro_y_median,0.0010254893925159805
gyro_y_kurt,0.0010085359475272854
gyro_x_var,0.0009413974714706124
gyro_z_kurt,0.0008830146028573978
gyro_x_mean,0.0008168041243945298
acc_mag_var,0.0007957038607955876
acc_mag_psd_mean,0.0007061838060790712
gyro_x_delta,0.000615536493710091
gyro_mag_spectral_entropy,0.0005567500568797828
acc_y_delta,0.000536206862410541
gyro_y_mean,0.0005220234187079313
acc_x_psd_mean,0.0004890669381037004
acc_z_q75,0.0004800896061403373
acc_x_std,0.00039084025239342874
gyro_z_mean,0.00035531953729503316
gyro_y_psd_mean,0.00027719688287053846
gyro_x_q25,0.0002158126191363027
gyro_mag_std,0.00016607415605550288
gyro_y_q75,0.00016283133263046042
gyro_x_psd_mean,0.00014654158222830385
acc_z_psd_mean,0.00013811415492407566
gyro_y_min,0.00012034101092041963
acc_y_q25,0.00011582950434094476
gyro_x_min,0.00010786342229928722
acc_x_q25,0.0001035464126720754
acc_z_std,0.00010240172692939505
acc_mag_q75,0.00010115669683512609
gyro_mag_q25,9.745582875641222e-05
acc_z_skew,9.467994551766611e-05
gyro_y_q25,9.396764961927427e-05
gyro_mag_skew,9.218381647473633e-05
acc_mag_delta,8.403688641538255e-05
gyro_x_kurt,8.360022021433968e-05
acc_z_mean,8.296870892209291e-05
gyro_z_skew,7.646916259747474e-05
gyro_mag_q75,7.621709764785743e-05
acc_mag_min,7.515498054202516e-05
acc_mag_spectral_entropy,7.286809100902498e-05
gyro_mag_psd_mean,6.998085764219168e-05
acc_x_skew,5.836952980710994e-05
acc_mag_mean,5.594124060495481e-05
acc_mag_iqr,4.6413425459779676e-05
gyro_y_delta,4.353165879242097e-05
acc_mag_median,3.728792365015409e-05
gyro_mag_var,2.8240716203143426e-05
gyro_mag_max,2.4851984753195495e-05
gyro_z_iqr,2.473966126479788e-05
acc_y_kurt,2.271956117432307e-05
gyro_x_spectral_entropy,2.2625977378366108e-05
gyro_y_max,2.1776996206780286e-05
acc_x_min,2.069835103803315e-05
acc_y_skew,2.0062706454033397e-05
acc_x_q75,1.4103736398143927e-05
gyro_z_median,1.0388997361234378e-05
acc_x_mean,8.009761429798684e-06
gyro_z_q75,5.755292767333468e-06
gyro_x_iqr,5.2692998786160075e-06
gyro_mag_median,3.679101664430589e-06
acc_x_var,7.143786812606319e-08
gyro_x_std,0.0
acc_x_max,0.0
acc_x_median,0.0
acc_z_q25,0.0
acc_z_median,0.0
acc_y_iqr,0.0
acc_y_var,0.0
acc_x_iqr,0.0
acc_y_std,0.0
gyro_x_median,0.0
gyro_z_delta,0.0
gyro_z_min,0.0
gyro_z_q25,0.0
gyro_z_var,0.0
gyro_y_skew,0.0
gyro_y_spectral_entropy,0.0
gyro_z_std,0.0
gyro_y_var,0.0
gyro_x_q75,0.0
gyro_y_std,0.0
gyro_z_max,0.0
acc_mag_q25,0.0
acc_mag_std,0.0
gyro_z_psd_mean,0.0
gyro_mag_min,0.0
