feature,importance
acc_mag_kurt,0.5726573904437696
acc_y_mean,0.11322891047076195
acc_y_max,0.08647991626231999
acc_z_delta,0.04895062016706183
acc_x_spectral_entropy,0.026034984636501435
gyro_mag_kurt,0.024606890816933076
gyro_mag_delta,0.023691732715436845
acc_x_delta,0.021219500017092222
acc_mag_max,0.018385079714609245
gyro_mag_mean,0.011104426227849937
acc_y_psd_mean,0.008842395777024606
gyro_mag_max,0.006621905506220278
acc_z_spectral_entropy,0.005969362618516553
acc_x_kurt,0.004668766028629438
gyro_z_spectral_entropy,0.003742486584843689
gyro_x_skew,0.0029036229575525228
gyro_mag_psd_mean,0.0020519434426601157
acc_z_min,0.0016247529265034008
gyro_mag_spectral_entropy,0.0014192877123959502
acc_y_delta,0.0013842624538736817
acc_y_q75,0.0013257143020545428
gyro_z_kurt,0.001190649512242535
gyro_mag_iqr,0.0011250019647369722
acc_z_max,0.0009475973592761544
acc_mag_skew,0.0008605647071082857
gyro_y_median,0.0008043047891854578
gyro_y_iqr,0.0006956333626213573
acc_y_min,0.0006020401651518267
gyro_mag_skew,0.000520862639912892
acc_z_kurt,0.000452519542670583
gyro_y_kurt,0.0003854410851142791
gyro_y_mean,0.00036466575132963736
acc_x_psd_mean,0.00032230326671914316
acc_y_spectral_entropy,0.0002864087000303323
acc_x_min,0.00023195306985200227
gyro_mag_q75,0.0002308841978410779
acc_mag_min,0.00022578706836625311
gyro_x_max,0.00022380505237380428
gyro_x_median,0.00021956203472922335
gyro_x_mean,0.000219200218490772
acc_z_skew,0.00021365621978766198
gyro_x_min,0.0001934722256404333
acc_y_median,0.00018108568136161773
gyro_mag_q25,0.00017854353038430516
gyro_y_min,0.0001708217138462766
gyro_z_mean,0.00016679953212531015
acc_mag_q75,0.00016624229132470794
gyro_x_kurt,0.0001466934377171054
acc_x_q75,0.00013736968164655998
acc_mag_var,0.00011929220884964195
gyro_x_spectral_entropy,0.00011745156356198993
gyro_y_delta,0.00011374210459650219
gyro_y_q25,0.00010876115685828016
acc_mag_psd_mean,0.00010244532735079844
acc_mag_median,9.153273646706118e-05
gyro_y_q75,8.352947778166035e-05
acc_x_std,7.647610668227803e-05
acc_y_skew,7.057521571378635e-05
acc_mag_std,6.719734133941993e-05
acc_z_var,6.404681770201853e-05
gyro_y_psd_mean,5.8176259197772485e-05
gyro_z_min,5.710910906908126e-05
acc_mag_delta,4.222818279720016e-05
gyro_x_delta,4.094673246833306e-05
gyro_z_skew,3.929020120608024e-05
acc_y_kurt,3.441950054373128e-05
acc_x_var,3.2302409932839433e-05
gyro_z_q25,3.180410546387283e-05
acc_mag_iqr,3.154791183865401e-05
acc_mag_mean,3.136090135048628e-05
acc_y_q25,2.9531515947552818e-05
acc_z_psd_mean,2.271780853491793e-05
gyro_z_delta,1.59695622954957e-05
acc_z_mean,1.5764283676331083e-05
gyro_y_var,1.5367891487134155e-05
gyro_y_max,1.5319149721522283e-05
gyro_x_var,1.5089720609212467e-05
gyro_x_iqr,1.3888764407090617e-05
gyro_z_median,1.1235836712675768e-05
acc_y_var,1.0693471833829099e-05
acc_z_q75,1.0628862935676882e-05
acc_x_q25,9.709298831288078e-06
gyro_mag_median,8.36659140668025e-06
gyro_mag_min,7.204013394688538e-06
gyro_z_std,4.749755186225749e-06
gyro_x_psd_mean,6.980782624004871e-07
gyro_y_std,5.858078819937833e-07
acc_z_q25,4.2363190612402317e-07
acc_x_max,0.0
acc_x_median,0.0
acc_x_mean,0.0
acc_z_std,0.0
acc_y_iqr,0.0
acc_x_iqr,0.0
acc_x_skew,0.0
acc_y_std,0.0
gyro_x_std,0.0
acc_z_iqr,0.0
acc_z_median,0.0
gyro_z_max,0.0
gyro_y_skew,0.0
gyro_y_spectral_entropy,0.0
gyro_x_q25,0.0
gyro_x_q75,0.0
gyro_z_iqr,0.0
gyro_z_q75,0.0
gyro_z_var,0.0
gyro_z_psd_mean,0.0
acc_mag_q25,0.0
gyro_mag_var,0.0
acc_mag_spectral_entropy,0.0
gyro_mag_std,0.0
