feature,importance
acc_mag_kurt,0.0971575704370702
acc_y_psd_mean,0.08451839258508449
gyro_mag_skew,0.07510865491831827
gyro_mag_kurt,0.06153623650576929
acc_y_max,0.052263111055847605
acc_mag_skew,0.04878464179516805
gyro_x_kurt,0.044440400899871196
acc_y_mean,0.0428998409277297
acc_z_delta,0.0382345081820482
gyro_mag_delta,0.03635701326296017
gyro_mag_max,0.02811448513323285
gyro_z_kurt,0.02680271383619811
acc_y_q75,0.0238259322776189
acc_x_delta,0.022457621710775272
acc_x_psd_mean,0.022063177993859998
acc_y_spectral_entropy,0.016110130328162223
gyro_mag_spectral_entropy,0.014524712193018938
acc_mag_max,0.012508209420690752
acc_x_var,0.011778695058764084
acc_y_median,0.010174424641455912
acc_mag_var,0.01005493189755697
acc_mag_delta,0.008353259114838127
acc_mag_std,0.008100437982247487
acc_x_kurt,0.008017648430283348
gyro_y_kurt,0.0075124025059215786
acc_y_q25,0.007471381516273915
acc_z_std,0.0069949230510325255
acc_mag_spectral_entropy,0.006708150439079742
acc_z_min,0.006657455137431697
gyro_mag_q75,0.006316694186642684
acc_x_std,0.006031039471337453
gyro_z_spectral_entropy,0.005618252804552688
acc_z_var,0.005588117725803999
acc_z_max,0.005518676398535396
acc_y_min,0.005080315327721983
acc_z_iqr,0.004887799005788149
acc_x_spectral_entropy,0.004737050434963126
gyro_mag_var,0.004707137185749748
acc_x_min,0.004560102950860959
gyro_x_mean,0.004413422434226969
gyro_mag_mean,0.004358097917465591
gyro_x_skew,0.00424796002460487
gyro_x_delta,0.004075563891961342
gyro_mag_psd_mean,0.0037613417671942743
acc_y_var,0.003460301693921683
gyro_mag_std,0.0033604991951716222
gyro_mag_iqr,0.0033071271997763313
acc_z_spectral_entropy,0.002710354951453099
gyro_y_spectral_entropy,0.00266098682691796
gyro_mag_q25,0.0026227942141397215
acc_y_delta,0.002599244372141265
acc_y_iqr,0.002558011705308868
acc_x_iqr,0.002522353416351016
acc_x_max,0.0025165427488924074
acc_mag_iqr,0.002485675200941702
gyro_mag_median,0.002426456864503586
acc_z_kurt,0.0023867870949345923
acc_y_std,0.0022901077447610705
gyro_y_q25,0.0019901138771090342
gyro_y_iqr,0.001911807366977718
gyro_z_skew,0.0018513562207678074
gyro_x_std,0.001787893206428575
acc_mag_min,0.0017876213422368598
acc_y_kurt,0.0017054811520074928
gyro_y_var,0.0015683716059422936
gyro_z_delta,0.0015390041827059722
gyro_x_psd_mean,0.0014180965981535145
gyro_y_delta,0.0013412065988188102
gyro_z_q75,0.0012985456289789671
gyro_x_q75,0.001243815949148816
acc_z_psd_mean,0.0012011667046141115
gyro_z_iqr,0.0011001117984359198
gyro_y_q75,0.0010865560495449329
gyro_z_max,0.0010118673636352491
gyro_x_min,0.0010109657804514172
acc_mag_q75,0.000987656007587442
gyro_y_std,0.0009876056232363225
acc_z_q75,0.0008742066423875569
acc_x_median,0.0008673493034281197
acc_x_q25,0.0008630695104718338
acc_mag_psd_mean,0.00084584023228331
acc_mag_q25,0.0008427453371382848
acc_x_skew,0.0008096539945263336
gyro_y_median,0.0007976369759423653
gyro_y_mean,0.0007875950910961469
gyro_z_psd_mean,0.0007813967109001558
gyro_x_spectral_entropy,0.0007642652667774151
gyro_x_var,0.0007345395008447461
gyro_z_var,0.0007279722901850627
gyro_x_max,0.0007274393621939417
acc_z_skew,0.0007256676973555075
gyro_y_psd_mean,0.0006945020846244013
acc_z_mean,0.0006746693432327967
gyro_z_mean,0.0006611347498072046
gyro_z_q25,0.000659503727172565
acc_z_median,0.0006432287530793476
acc_mag_mean,0.0006339886926879579
gyro_z_std,0.000607354275189388
acc_z_q25,0.000603541078455867
gyro_y_min,0.0005963882583438892
acc_x_q75,0.0005437967902901394
acc_x_mean,0.0005128362633011138
gyro_x_iqr,0.0005017758372079749
gyro_z_min,0.00048121933850555243
gyro_y_skew,0.00045128148552072735
acc_y_skew,0.00044494952748097533
gyro_x_median,0.0004265194736219522
gyro_y_max,0.00041733706988398845
gyro_x_q25,0.000352915140894893
gyro_z_median,0.00029642124235074695
acc_mag_median,0.0002423373472096169
gyro_mag_min,0.00023580055389308034
